FECHA;HORA;TEMPERATURA MEDIA (°C);HUMEDAD RELATIVA (%);PRECIPITACIÓN (mm);DIRECCIÓN DE VIENTO (°);VELOCIDAD DE VIENTO (m/s);RADIACIÓN SOLAR (W/m2)
12/01/2010;00:00:00;22.4;89;;256;0.4;
12/01/2010;01:00:00;22.3;90;;308;0.3;
12/01/2010;02:00:00;22.3;90;;241;0.4;
12/01/2010;03:00:00;22;92;;230;1;
12/01/2010;04:00:00;21.9;92;;231;0.6;
12/01/2010;05:00:00;22;92;;186;0.1;
12/01/2010;06:00:00;22;92;;229;0.6;
12/01/2010;07:00:00;21.9;93;;229;0.9;
12/01/2010;08:00:00;21.7;94;;238;0.6;
12/01/2010;09:00:00;21.8;94;;234;0.8;
12/01/2010;10:00:00;22.7;90;;243;0.8;
12/01/2010;11:00:00;23.7;82;;232;1.7;
12/01/2010;12:00:00;24.5;78;;228;2;
12/01/2010;13:00:00;24.6;79;;232;2.4;
12/01/2010;14:00:00;24.5;82;;229;2.2;
12/01/2010;15:00:00;24.8;79;;227;2.6;
12/01/2010;16:00:00;24.9;78;;228;2.2;
12/01/2010;17:00:00;24.6;77;;230;1.7;
12/01/2010;18:00:00;23.3;84;;232;1.7;
12/01/2010;19:00:00;22.9;88;;227;2.2;
12/01/2010;20:00:00;23;86;;252;1.2;
12/01/2010;21:00:00;22.9;88;;257;1.1;
12/01/2010;22:00:00;22.8;88;;273;1;
12/01/2010;23:00:00;22.6;88;;290;0.8;
13/01/2010;00:00:00;22.5;88;;20;0.7;
13/01/2010;01:00:00;22.5;88;;193;0.3;
13/01/2010;02:00:00;22.4;89;;278;0.4;
13/01/2010;03:00:00;22.3;91;;285;0.3;
13/01/2010;04:00:00;22;92;;241;0.8;
13/01/2010;05:00:00;21.6;94;;232;1.1;
13/01/2010;06:00:00;21.5;95;;240;1;
13/01/2010;07:00:00;21.5;95;;252;0.5;
13/01/2010;08:00:00;21.7;96;;236;0.9;
13/01/2010;09:00:00;22.5;94;;251;0.5;
13/01/2010;10:00:00;24.5;82;;350;0.2;
13/01/2010;11:00:00;24.6;79;;326;1;
13/01/2010;12:00:00;24.5;79;;230;1.8;
13/01/2010;13:00:00;24.5;80;;227;1.9;
13/01/2010;14:00:00;25.3;76;;224;1.4;
13/01/2010;15:00:00;25.8;73;;226;1.6;
13/01/2010;16:00:00;24.2;81;;229;3.1;
13/01/2010;17:00:00;23.4;86;;233;2.6;
13/01/2010;18:00:00;23.4;85;;235;1.6;
13/01/2010;19:00:00;23.1;86;;260;1;
13/01/2010;20:00:00;23.1;86;;260;0.7;
13/01/2010;21:00:00;23;87;;292;0.5;
13/01/2010;22:00:00;22.9;87;;273;0.4;
13/01/2010;23:00:00;22.8;87;;298;0.3;
14/01/2010;00:00:00;22.5;88;;258;0.4;
14/01/2010;01:00:00;22.5;90;;252;0.6;
14/01/2010;02:00:00;22.4;90;;246;0.6;
14/01/2010;03:00:00;22.2;90;;242;0.7;
14/01/2010;04:00:00;22.1;90;;255;0.6;
14/01/2010;05:00:00;22.1;90;;280;0.5;
14/01/2010;06:00:00;22.1;90;;253;0.8;
14/01/2010;07:00:00;22.2;90;;265;0.7;
14/01/2010;08:00:00;22.4;90;;66;0.7;
14/01/2010;09:00:00;22.8;88;;257;0.9;
14/01/2010;10:00:00;23;87;;269;0.8;
14/01/2010;11:00:00;23.4;85;;249;1;
14/01/2010;12:00:00;24.7;79;;39;1.2;
14/01/2010;13:00:00;25.8;75;;231;2.3;
14/01/2010;14:00:00;26.2;74;;229;3;
14/01/2010;15:00:00;24.6;79;;228;3.7;
14/01/2010;16:00:00;23.7;84;;227;3.2;
14/01/2010;17:00:00;23.3;86;;228;2.8;
14/01/2010;18:00:00;23.1;86;;230;2.8;
14/01/2010;19:00:00;22.9;86;;10;1.4;
14/01/2010;20:00:00;22.8;87;;91;1.1;
14/01/2010;21:00:00;22.6;88;;263;1.1;
14/01/2010;22:00:00;22.6;88;;327;0.9;
14/01/2010;23:00:00;22.5;88;;174;0.8;
15/01/2010;00:00:00;22.4;88;;343;0.5;
